✅ Fetched 25850 candles total
✅ Loaded 25850 candles

🚀 Running 480 backtests in parallel...
   • Greedy Momentum: 3 periods × 4 patience × 4 margins
   • Greedy EMA Cross: 3 EMA pairs × 4 patience × 4 margins
   • 96 strategy configurations × 5 loss tolerances = 480 total tests

🚀 Running 480 backtests in parallel...


✅ All tests complete!

  [43/480] GreedyMom(p=10, patience=576, margin=0.3%) @ 0.50% loss → APY_USD: 7.5%, Trades: 7, Rejected: 0B/0S
  [44/480] GreedyMom(p=10, patience=576, margin=0.3%) @ 1.00% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [45/480] GreedyMom(p=10, patience=576, margin=0.3%) @ 2.50% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [46/480] GreedyMom(p=10, patience=576, margin=0.5%) @ 0.00% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [47/480] GreedyMom(p=10, patience=576, margin=0.5%) @ 0.10% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [48/480] GreedyMom(p=10, patience=576, margin=0.5%) @ 0.50% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [49/480] GreedyMom(p=10, patience=576, margin=0.5%) @ 1.00% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [50/480] GreedyMom(p=10, patience=576, margin=0.5%) @ 2.50% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [51/480] GreedyMom(p=10, patience=576, margin=0.75%) @ 0.00% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [52/480] GreedyMom(p=10, patience=576, margin=0.75%) @ 0.10% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [53/480] GreedyMom(p=10, patience=576, margin=0.75%) @ 0.50% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [54/480] GreedyMom(p=10, patience=576, margin=0.75%) @ 1.00% loss → APY_USD: 13.4%, Trades: 11, Rejected: 0B/0S
  [55/480] GreedyMom(p=10, patience=576, margin=0.75%) @ 2.50% loss → APY_USD: 13.4%, Trades: 11, Rejected: 0B/0S
  [56/480] GreedyMom(p=10, patience=576, margin=1.0%) @ 0.00% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [57/480] GreedyMom(p=10, patience=576, margin=1.0%) @ 0.10% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [58/480] GreedyMom(p=10, patience=576, margin=1.0%) @ 0.50% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [59/480] GreedyMom(p=10, patience=576, margin=1.0%) @ 1.00% loss → APY_USD: 14.5%, Trades: 11, Rejected: 0B/0S
  [60/480] GreedyMom(p=10, patience=576, margin=1.0%) @ 2.50% loss → APY_USD: 14.5%, Trades: 11, Rejected: 0B/0S
  [61/480] GreedyMom(p=10, patience=1152, margin=0.3%) @ 0.00% loss → APY_USD: 7.5%, Trades: 7, Rejected: 0B/0S
  [62/480] GreedyMom(p=10, patience=1152, margin=0.3%) @ 0.10% loss → APY_USD: 7.5%, Trades: 7, Rejected: 0B/0S
  [63/480] GreedyMom(p=10, patience=1152, margin=0.3%) @ 0.50% loss → APY_USD: 7.5%, Trades: 7, Rejected: 0B/0S
  [64/480] GreedyMom(p=10, patience=1152, margin=0.3%) @ 1.00% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [65/480] GreedyMom(p=10, patience=1152, margin=0.3%) @ 2.50% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [66/480] GreedyMom(p=10, patience=1152, margin=0.5%) @ 0.00% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [67/480] GreedyMom(p=10, patience=1152, margin=0.5%) @ 0.10% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [68/480] GreedyMom(p=10, patience=1152, margin=0.5%) @ 0.50% loss → APY_USD: 11.3%, Trades: 7, Rejected: 0B/0S
  [69/480] GreedyMom(p=10, patience=1152, margin=0.5%) @ 1.00% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [70/480] GreedyMom(p=10, patience=1152, margin=0.5%) @ 2.50% loss → APY_USD: 12.1%, Trades: 11, Rejected: 0B/0S
  [71/480] GreedyMom(p=10, patience=1152, margin=0.75%) @ 0.00% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [72/480] GreedyMom(p=10, patience=1152, margin=0.75%) @ 0.10% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [73/480] GreedyMom(p=10, patience=1152, margin=0.75%) @ 0.50% loss → APY_USD: 12.5%, Trades: 7, Rejected: 0B/0S
  [74/480] GreedyMom(p=10, patience=1152, margin=0.75%) @ 1.00% loss → APY_USD: 13.4%, Trades: 11, Rejected: 0B/0S
  [75/480] GreedyMom(p=10, patience=1152, margin=0.75%) @ 2.50% loss → APY_USD: 13.4%, Trades: 11, Rejected: 0B/0S
  [76/480] GreedyMom(p=10, patience=1152, margin=1.0%) @ 0.00% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [77/480] GreedyMom(p=10, patience=1152, margin=1.0%) @ 0.10% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [78/480] GreedyMom(p=10, patience=1152, margin=1.0%) @ 0.50% loss → APY_USD: 13.7%, Trades: 7, Rejected: 0B/0S
  [79/480] GreedyMom(p=10, patience=1152, margin=1.0%) @ 1.00% loss → APY_USD: 14.5%, Trades: 11, Rejected: 0B/0S
  [80/480] GreedyMom(p=10, patience=1152, margin=1.0%) @ 2.50% loss → APY_USD: 14.5%, Trades: 11, Rejected: 0B/0S
  [81/480] GreedyMom(p=14, patience=144, margin=0.3%) @ 0.00% loss → APY_USD: 39.5%, Trades: 13, Rejected: 0B/0S
  [82/480] GreedyMom(p=14, patience=144, margin=0.3%) @ 0.10% loss → APY_USD: 39.5%, Trades: 13, Rejected: 0B/0S
  [83/480] GreedyMom(p=14, patience=144, margin=0.3%) @ 0.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [84/480] GreedyMom(p=14, patience=144, margin=0.3%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [85/480] GreedyMom(p=14, patience=144, margin=0.3%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [86/480] GreedyMom(p=14, patience=144, margin=0.5%) @ 0.00% loss → APY_USD: 44.2%, Trades: 13, Rejected: 0B/0S
  [87/480] GreedyMom(p=14, patience=144, margin=0.5%) @ 0.10% loss → APY_USD: 44.2%, Trades: 13, Rejected: 0B/0S
  [88/480] GreedyMom(p=14, patience=144, margin=0.5%) @ 0.50% loss → APY_USD: 44.2%, Trades: 13, Rejected: 0B/0S
  [89/480] GreedyMom(p=14, patience=144, margin=0.5%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [90/480] GreedyMom(p=14, patience=144, margin=0.5%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [91/480] GreedyMom(p=14, patience=144, margin=0.75%) @ 0.00% loss → APY_USD: 46.6%, Trades: 13, Rejected: 0B/0S
  [92/480] GreedyMom(p=14, patience=144, margin=0.75%) @ 0.10% loss → APY_USD: 46.6%, Trades: 13, Rejected: 0B/0S
  [93/480] GreedyMom(p=14, patience=144, margin=0.75%) @ 0.50% loss → APY_USD: 46.6%, Trades: 13, Rejected: 0B/0S
  [94/480] GreedyMom(p=14, patience=144, margin=0.75%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [95/480] GreedyMom(p=14, patience=144, margin=0.75%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [96/480] GreedyMom(p=14, patience=144, margin=1.0%) @ 0.00% loss → APY_USD: 31.7%, Trades: 13, Rejected: 0B/0S
  [97/480] GreedyMom(p=14, patience=144, margin=1.0%) @ 0.10% loss → APY_USD: 31.7%, Trades: 13, Rejected: 0B/0S
  [98/480] GreedyMom(p=14, patience=144, margin=1.0%) @ 0.50% loss → APY_USD: 31.7%, Trades: 13, Rejected: 0B/0S
  [99/480] GreedyMom(p=14, patience=144, margin=1.0%) @ 1.00% loss → APY_USD: 31.7%, Trades: 13, Rejected: 0B/0S
  [100/480] GreedyMom(p=14, patience=144, margin=1.0%) @ 2.50% loss → APY_USD: -7.3%, Trades: 14, Rejected: 0B/0S
  [101/480] GreedyMom(p=14, patience=288, margin=0.3%) @ 0.00% loss → APY_USD: 41.1%, Trades: 13, Rejected: 0B/0S
  [102/480] GreedyMom(p=14, patience=288, margin=0.3%) @ 0.10% loss → APY_USD: 41.1%, Trades: 13, Rejected: 0B/0S
  [103/480] GreedyMom(p=14, patience=288, margin=0.3%) @ 0.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [104/480] GreedyMom(p=14, patience=288, margin=0.3%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [105/480] GreedyMom(p=14, patience=288, margin=0.3%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [106/480] GreedyMom(p=14, patience=288, margin=0.5%) @ 0.00% loss → APY_USD: 44.8%, Trades: 13, Rejected: 0B/0S
  [107/480] GreedyMom(p=14, patience=288, margin=0.5%) @ 0.10% loss → APY_USD: 44.8%, Trades: 13, Rejected: 0B/0S
  [108/480] GreedyMom(p=14, patience=288, margin=0.5%) @ 0.50% loss → APY_USD: 44.8%, Trades: 13, Rejected: 0B/0S
  [109/480] GreedyMom(p=14, patience=288, margin=0.5%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [110/480] GreedyMom(p=14, patience=288, margin=0.5%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [111/480] GreedyMom(p=14, patience=288, margin=0.75%) @ 0.00% loss → APY_USD: 50.9%, Trades: 13, Rejected: 0B/0S
